"Time","SMR"
"2021-09-01",11
"2021-10-01",14
"2021-11-01",20
"2021-12-01",12
"2022-01-01",14
"2022-02-01",16
"2022-03-01",18
"2022-04-01",16
"2022-05-01",24
"2022-06-01",18
"2022-07-01",15
"2022-08-01",15
"2022-09-01",14
"2022-10-01",13
"2022-11-01",14
"2022-12-01",11
"2023-01-01",13
"2023-02-01",14
"2023-03-01",15
"2023-04-01",14
"2023-05-01",16
"2023-06-01",10
"2023-07-01",13
"2023-08-01",12
"2023-09-01",12
"2023-10-01",11
"2023-11-01",17
"2023-12-01",12
"2024-01-01",13
"2024-02-01",13
"2024-03-01",24
"2024-04-01",20
"2024-05-01",25
"2024-06-01",31
"2024-07-01",27
"2024-08-01",19
"2024-09-01",19
"2024-10-01",32
"2024-11-01",33
"2024-12-01",34
"2025-01-01",36
"2025-02-01",30
"2025-03-01",26
"2025-04-01",20
"2025-05-01",33
"2025-06-01",43
"2025-07-01",43
"2025-08-01",45
"2025-09-01",38
"2025-10-01",54
"2025-11-01",90
"2025-12-01",77
"2026-01-01",91
"2026-02-01",86
"2026-03-01",92
"2026-04-01",91
"2026-05-01",100
"2026-06-01",89
"2026-07-01",56
"2026-08-01",35
"2026-09-01",30
